Title,Rating,Year,Duration,Votes,Director,MetaScore,Predicted Rating
1. Гражданин Кейн,8.3,1941.0,1h,471000,Orson Welles,100.0,8.3
2. Крестный отец,9.2,1972.0,2h,1000000,Francis Ford Coppola,100.0,9.200000000000001
3. 12 разгневанных мужчин,9.0,1957.0,1h,885000,Sidney Lumet,97.0,9.000000000000002
4. Касабланка,8.5,1942.0,1h,614000,Michael Curtiz,100.0,8.5
5. Страсти Жанны д'Арк,8.1,1928.0,1h,62000,Carl Theodor Dreyer,98.0,8.1
6. Огни большого города,8.5,1931.0,1h,199000,Charles Chaplin,99.0,8.5
7. Головокружение,8.3,1958.0,2h,434000,Alfred Hitchcock,100.0,8.3
8. Семь самураев,8.6,1954.0,3h,372000,Akira Kurosawa,98.0,8.6
9. Восход солнца,8.1,1927.0,1h,54000,F.W. Murnau,95.0,8.1
10. Крестный отец 2,9.0,1974.0,3h,4000000,Francis Ford Coppola,90.0,9.000000000000002
11. Эта замечательная жизнь,8.6,1946.0,2h,506000,Frank Capra,89.0,8.6
12. Окно во двор,8.5,1954.0,1h,531000,Alfred Hitchcock,100.0,8.5
13. Психо,8.5,1960.0,1h,731000,Alfred Hitchcock,97.0,8.5
14. Метрополис,8.3,1927.0,2h,188000,Fritz Lang,98.0,8.3
15. Сансет бульвар,8.4,1950.0,1h,240000,Billy Wilder,94.0,8.4
16. Человек с киноаппаратом,8.3,1929.0,1h,28000,Dziga Vertov,96.0,8.3
17. Токийская повесть,8.1,1953.0,2h,70000,Yasujirô Ozu,100.0,8.1
18. Поющие под дождем,8.3,1952.0,1h,265000,Stanley Donen,99.0,8.3
19. Квартира,8.3,1960.0,2h,200000,Billy Wilder,94.0,8.3
20. Лоуренс Аравийский,8.3,1962.0,3h,320000,David Lean,100.0,8.3
"21. Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",8.3,1964.0,1h,525000,Stanley Kubrick,97.0,8.3
"22. Хороший, плохой, злой",8.8,1966.0,2h,825000,Sergio Leone,90.0,8.800000000000002
23. М убийца,8.3,1931.0,1h,171000,Fritz Lang,0.0,8.3
24. Пролетая над гнездом кукушки,8.7,1975.0,2h,1000000,Milos Forman,84.0,8.700000000000001
25. Третий человек,8.1,1949.0,1h,185000,Carol Reed,97.0,8.1
26. Новые времена,8.5,1936.0,1h,264000,Charles Chaplin,96.0,8.5
27. Всё о Еве,8.2,1950.0,2h,141000,Joseph L. Mankiewicz,98.0,8.2
28. Рай и ад,8.4,1963.0,2h,55000,Akira Kurosawa,90.0,8.4
29. Броненосец «Потемкин»,7.9,1925.0,1h,62000,Sergei Eisenstein,97.0,7.9
30. Двойная страховка,8.3,1944.0,1h,170000,Billy Wilder,95.0,8.3
31. Апокалипсис сегодня,8.4,1979.0,2h,721000,Francis Ford Coppola,94.0,8.4
32. Расёмон,8.2,1950.0,1h,184000,Akira Kurosawa,98.0,8.2
33. Волшебник страны Оз,8.1,1939.0,1h,435000,Victor Fleming,92.0,8.1
34. Правила игры,7.9,1939.0,1h,32000,Jean Renoir,99.0,7.9
35. Похитители велосипедов,8.3,1948.0,1h,178000,Vittorio De Sica,0.0,8.3
36. Таксист,8.2,1976.0,1h,941000,Martin Scorsese,94.0,8.2
37. Лучшие годы нашей жизни,8.1,1946.0,2h,72000,William Wyler,93.0,8.1
38. 2001 год: Космическая одиссея,8.3,1968.0,2h,732000,Stanley Kubrick,84.0,8.3
39. Звёздные войны,8.6,1977.0,2h,5000000,George Lucas,90.0,8.6
40. Унесенные ветром,8.2,1939.0,3h,338000,Victor Fleming,97.0,8.2
41. В джазе только девушки,8.2,1959.0,2h,287000,Billy Wilder,98.0,8.2
42. Восемь с половиной,8.0,1963.0,2h,127000,Federico Fellini,93.0,8.0
43. Это случилось однажды ночью,8.1,1934.0,1h,114000,Frank Capra,87.0,8.1
44. Жить,8.3,1952.0,2h,90000,Akira Kurosawa,92.0,8.3
45. На западном фронте без перемен,8.1,1930.0,2h,69000,Lewis Milestone,91.0,8.1
46. Битва за Алжир,8.1,1966.0,2h,67000,Gillo Pontecorvo,96.0,8.1
47. Великий диктатор,8.4,1940.0,2h,241000,Charles Chaplin,0.0,8.4
48. Шерлок младший,8.2,1924.0,45m,59000,Buster Keaton,0.0,8.2
49. В порту,8.1,1954.0,1h,168000,Elia Kazan,91.0,8.1
50. Короткая встреча,8.0,1945.0,1h,45000,David Lean,92.0,8.0
51. Дети райка,8.3,1945.0,3h,21000,Marcel Carné,96.0,8.3
52. Гроздья гнева,8.1,1940.0,2h,101000,John Ford,96.0,8.1
53. На север через северо-запад,8.3,1959.0,2h,351000,Alfred Hitchcock,98.0,8.3
54. Список Шиндлера,9.0,1993.0,3h,5000000,Steven Spielberg,95.0,9.000000000000002
55. Паровоз Генерал,8.1,1926.0,1h,100000,Clyde Bruckman,0.0,8.1
56. Тропы славы,8.4,1957.0,1h,217000,Stanley Kubrick,90.0,8.4
57. Мост через реку Квай,8.1,1957.0,2h,236000,David Lean,88.0,8.1
58. Управляющий Сансё,8.4,1954.0,2h,19000,Kenji Mizoguchi,96.0,8.4
59. Сокровища Сьерра Мадре,8.2,1948.0,2h,134000,John Huston,98.0,8.2
60. Барри Линдон,8.1,1975.0,3h,187000,Stanley Kubrick,89.0,8.1
61. Сладкая жизнь,8.0,1960.0,2h,79000,Federico Fellini,95.0,8.0
62. Харакири,8.6,1962.0,2h,72000,Masaki Kobayashi,85.0,8.6
63. Персона,8.1,1966.0,1h,133000,Ingmar Bergman,86.0,8.1
64. Поздняя весна,8.2,1949.0,1h,20000,Yasujirô Ozu,93.0,8.2
65. Красные башмачки,8.1,1948.0,2h,40000,Michael Powell,0.0,8.1
66. Энни Холл,8.0,1977.0,1h,281000,Woody Allen,92.0,8.0
67. Славные парни,8.7,1990.0,2h,3000000,Martin Scorsese,92.0,8.700000000000001
68. Звёздные войны: Эпизод 5 - Империя наносит ответный удар,8.7,1980.0,2h,4000000,Irvin Kershner,82.0,8.700000000000001
69. Китайский квартал,8.1,1974.0,2h,356000,Roman Polanski,92.0,8.1
70. Чeтыреста ударов,8.1,1959.0,1h,129000,François Truffaut,0.0,8.1
71. Фанни и Александр,8.1,1982.0,3h,68000,Ingmar Bergman,100.0,8.1
72. Великая иллюзия,8.1,1937.0,1h,39000,Jean Renoir,0.0,8.1
73. Удел человеческий 3,8.8,1961.0,3h,6000,Masaki Kobayashi,0.0,8.800000000000002
74. Седьмая печать,8.1,1957.0,1h,202000,Ingmar Bergman,88.0,8.1
75. Ночь охотника,8.0,1955.0,1h,100000,Charles Laughton,97.0,8.0
76. Дурная слава,7.9,1946.0,1h,109000,Alfred Hitchcock,100.0,7.9
77. Печать зла,8.0,1958.0,1h,111000,Orson Welles,99.0,8.0
78. Телохранитель,8.2,1961.0,1h,134000,Akira Kurosawa,93.0,8.2
79. Армия теней,8.1,1969.0,2h,27000,Jean-Pierre Melville,99.0,8.1
80. Шоа,8.7,1985.0,9h,11000,Claude Lanzmann,99.0,8.700000000000001
81. Мальтийский сокол,7.9,1941.0,1h,168000,John Huston,97.0,7.9
82. Женщина в песках,8.5,1964.0,2h,23000,Hiroshi Teshigahara,0.0,8.5
83. Андрей Рублёв,8.0,1966.0,3h,58000,Andrei Tarkovsky,0.0,8.0
84. Золотая лихорадка,8.1,1925.0,1h,120000,Charles Chaplin,0.0,8.1
85. Бешеный бык,8.1,1980.0,2h,386000,Martin Scorsese,90.0,8.1
86. Леопард,7.9,1963.0,3h,30000,Luchino Visconti,100.0,7.9
87. Бильярдист,7.9,1961.0,2h,88000,Robert Rossen,90.0,7.9
88. Чужой,8.5,1979.0,1h,982000,Ridley Scott,89.0,8.5
89. Охотник на оленей,8.1,1978.0,3h,367000,Michael Cimino,90.0,8.1
90. Земляничная поляна,8.1,1957.0,1h,117000,Ingmar Bergman,88.0,8.1
91. Плата за страх,8.1,1953.0,2h,68000,Henri-Georges Clouzot,85.0,8.1
92. Как зелена была моя долина,7.7,1941.0,1h,27000,John Ford,88.0,7.7
93. Виридиана,8.1,1961.0,1h,26000,Luis Buñuel,0.0,8.1
94. Время развлечений,7.8,1967.0,2h,27000,Jacques Tati,99.0,7.8
95. Собачий полдень,8.0,1975.0,2h,277000,Sidney Lumet,86.0,8.0
96. Иди и смотри,8.4,1985.0,2h,102000,Elem Klimov,0.0,8.4
97. Летят журавли,8.3,1957.0,1h,20000,Mikhail Kalatozov,0.0,8.3
98. Дзета,8.1,1969.0,2h,32000,Costa-Gavras,86.0,8.1
99. Побег из Шоушенка,9.3,1994.0,2h,9000000,Frank Darabont,82.0,9.300000000000004
100. Наполеон,8.2,1927.0,5h,9000,Abel Gance,0.0,8.2
101. Ночи Кабирии,8.1,1957.0,1h,53000,Federico Fellini,0.0,8.1
102. Вудсток,8.1,1970.0,3h,19000,Michael Wadleigh,95.0,8.1
103. Телесеть,8.1,1976.0,2h,174000,Sidney Lumet,83.0,8.1
"104. Приговоренный к смерти бежал, или Дух веет, где хочет",8.2,1956.0,1h,26000,Robert Bresson,0.0,8.2
105. Вестсайдская история,7.6,1961.0,2h,122000,Jerome Robbins,86.0,7.599999999999999
106. Быть или не быть,8.1,1942.0,1h,44000,Ernst Lubitsch,86.0,8.1
107. Ран,8.2,1985.0,2h,139000,Akira Kurosawa,97.0,8.2
108. Молчание ягнят,8.6,1991.0,1h,6000000,Jonathan Demme,86.0,8.6
109. Дикая банда,7.9,1969.0,2h,91000,Sam Peckinpah,98.0,7.9
110. Амадей,8.4,1984.0,2h,435000,Milos Forman,87.0,8.4
111. Нэшвилл,7.6,1975.0,2h,29000,Robert Altman,96.0,7.599999999999999
112. Жизнь и смерть полковника Блимпа,8.0,1943.0,2h,17000,Michael Powell,93.0,8.0
113. Лестница в небо,8.0,1946.0,1h,26000,Michael Powell,0.0,8.0
114. Слово,8.2,1955.0,2h,18000,Carl Theodor Dreyer,0.0,8.2
115. Афера,8.3,1973.0,2h,283000,George Roy Hill,83.0,8.3
116. Заводной апельсин,8.2,1971.0,2h,893000,Stanley Kubrick,77.0,8.2
117. Филадельфийская история,7.9,1940.0,1h,75000,George Cukor,96.0,7.9
118. Индиана Джонс: В поисках утраченного ковчега,8.4,1981.0,1h,1000000,Steven Spielberg,86.0,8.4
"119. Человек, который застрелил Либерти Вэланса",8.1,1962.0,2h,84000,John Ford,94.0,8.1
120. Сладкий запах успеха,8.0,1957.0,1h,36000,Alexander Mackendrick,100.0,8.0
121. Челюсти,8.1,1975.0,2h,675000,Steven Spielberg,87.0,8.1
122. Однажды на Диком Западе,8.5,1968.0,2h,354000,Sergio Leone,82.0,8.5
123. Убить пересмешника,8.3,1962.0,2h,337000,Robert Mulligan,88.0,8.3
124. Полуночный ковбой,7.8,1969.0,1h,123000,John Schlesinger,79.0,7.8
125. Искатели,7.8,1956.0,1h,98000,John Ford,94.0,7.8
126. Невеста Франкенштейна,7.8,1935.0,1h,54000,James Whale,95.0,7.8
